"x","y","track_id","time"
66.087933,158.97222,"3a",1970-01-01 01:00:01
67.258706,159.25841,"3a",1970-01-01 01:00:02
68.533548,159.28441,"3a",1970-01-01 01:00:03
69.652287,159.28441,"3a",1970-01-01 01:00:04
70.82306,159.23241,"3a",1970-01-01 01:00:05
72.071885,159.44055,"3a",1970-01-01 01:00:06
73.216641,159.23241,"3a",1970-01-01 01:00:07
74.309363,159.44055,"3a",1970-01-01 01:00:08
75.610222,159.54462,"3a",1970-01-01 01:00:09
76.780995,159.49262,"3a",1970-01-01 01:00:10
77.977786,159.51862,"3a",1970-01-01 01:00:11
79.200593,159.49262,"3a",1970-01-01 01:00:12
80.267298,158.81617,"3a",1970-01-01 01:00:13
81.54214,158.03566,"3a",1970-01-01 01:00:14
82.634862,157.17709,"3a",1970-01-01 01:00:15
83.935721,156.26649,"3a",1970-01-01 01:00:16
85.080478,155.17377,"3a",1970-01-01 01:00:17
86.199216,154.44529,"3a",1970-01-01 01:00:18
87.422024,153.61274,"3a",1970-01-01 01:00:19
88.618814,152.91027,"3a",1970-01-01 01:00:20
89.737552,152.05171,"3a",1970-01-01 01:00:21
90.908325,151.34924,"3a",1970-01-01 01:00:22
92.131134,150.49068,"3a",1970-01-01 01:00:23
93.37996,149.60609,"3a",1970-01-01 01:00:24
94.498697,148.53939,"3a",1970-01-01 01:00:25
101.84855,159.23239,"3b",1970-01-01 01:00:26
103.11038,159.03726,"3b",1970-01-01 01:00:27
104.37222,159.44053,"3b",1970-01-01 01:00:28
105.67308,159.50553,"3b",1970-01-01 01:00:29
106.84385,158.94616,"3b",1970-01-01 01:00:30
108.19675,159.50553,"3b",1970-01-01 01:00:31
109.65371,159.06324,"3b",1970-01-01 01:00:32
110.96758,159.55757,"3b",1970-01-01 01:00:33
112.39852,159.27138,"3b",1970-01-01 01:00:34
113.64734,159.67464,"3b",1970-01-01 01:00:35
114.77909,159.76574,"3b",1970-01-01 01:00:36
115.94987,159.76574,"3b",1970-01-01 01:00:37
116.52224,158.52993,"3b",1970-01-01 01:00:38
117.62797,157.34614,"3b",1970-01-01 01:00:39
118.33044,156.73474,"3b",1970-01-01 01:00:40
118.30444,155.26477,"3b",1970-01-01 01:00:41
119.48822,154.69239,"3b",1970-01-01 01:00:42
120.59395,154.22408,"3b",1970-01-01 01:00:43
121.50455,153.82082,"3b",1970-01-01 01:00:44
122.3371,152.8842,"3b",1970-01-01 01:00:45
121.86879,151.46626,"3b",1970-01-01 01:00:46
122.31109,150.42557,"3b",1970-01-01 01:00:47
123.2477,149.54099,"3b",1970-01-01 01:00:48
123.92415,148.86454,"3b",1970-01-01 01:00:49
125.52421,148.52632,"3b",1970-01-01 01:00:50
135.91806,159.75273,"3c",1970-01-01 01:00:51
137.51811,159.53159,"3c",1970-01-01 01:00:52
138.96207,158.84213,"3c",1970-01-01 01:00:53
140.21089,157.86649,"3c",1970-01-01 01:00:54
141.56379,158.69904,"3c",1970-01-01 01:00:55
142.81261,159.73973,"3c",1970-01-01 01:00:56
143.89232,158.66001,"3c",1970-01-01 01:00:57
145.29725,158.55594,"3c",1970-01-01 01:00:58
146.429,157.37216,"3c",1970-01-01 01:00:59
147.36562,158.28276,"3c",1970-01-01 01:01:00
149.13478,159.03726,"3c",1970-01-01 01:01:01
150.46166,158.51692,"3c",1970-01-01 01:01:02
150.77387,157.09898,"3c",1970-01-01 01:01:03
150.81287,155.44689,"3c",1970-01-01 01:01:04
151.71047,154.22408,"3c",1970-01-01 01:01:05
153.11539,153.66471,"3c",1970-01-01 01:01:06
154.41625,154.80947,"3c",1970-01-01 01:01:07
154.74147,153.43056,"3c",1970-01-01 01:01:08
154.61138,151.93457,"3c",1970-01-01 01:01:09
155.28783,150.78981,"3c",1970-01-01 01:01:10
156.52365,150.4646,"3c",1970-01-01 01:01:11
158.1237,149.91824,"3c",1970-01-01 01:01:12
159.07333,148.52632,"3c",1970-01-01 01:01:13
160.37419,148.045,"3c",1970-01-01 01:01:14
161.70107,147.05635,"3c",1970-01-01 01:01:15
169.40217,159.31044,"3d",1970-01-01 01:01:16
170.45587,157.19004,"3d",1970-01-01 01:01:17
172.71936,157.35915,"3d",1970-01-01 01:01:18
174.68366,156.26643,"3d",1970-01-01 01:01:19
176.4138,155.04362,"3d",1970-01-01 01:01:20
178.65128,155.05662,"3d",1970-01-01 01:01:21
176.97317,156.87783,"3d",1970-01-01 01:01:22
175.55523,154.25009,"3d",1970-01-01 01:01:23
176.76503,156.13634,"3d",1970-01-01 01:01:24
179.01552,155.70705,"3d",1970-01-01 01:01:25
180.83673,156.73473,"3d",1970-01-01 01:01:26
182.51483,158.15267,"3d",1970-01-01 01:01:27
183.86773,156.70871,"3d",1970-01-01 01:01:28
185.07752,154.96556,"3d",1970-01-01 01:01:29
187.09386,154.23708,"3d",1970-01-01 01:01:30
189.09718,153.06631,"3d",1970-01-01 01:01:31
190.58016,154.86149,"3d",1970-01-01 01:01:32
192.64853,155.49892,"3d",1970-01-01 01:01:33
191.00944,156.60465,"3d",1970-01-01 01:01:34
192.68755,154.5623,"3d",1970-01-01 01:01:35
192.83064,152.12969,"3d",1970-01-01 01:01:36
194.61282,150.55565,"3d",1970-01-01 01:01:37
194.07947,148.53932,"3d",1970-01-01 01:01:38
192.05013,147.25147,"3d",1970-01-01 01:01:39
190.13787,146.11972,"3d",1970-01-01 01:01:40
66.771428,192.59619,"3e",1970-01-01 01:01:41
67.958029,192.69738,"3e",1970-01-01 01:01:42
69.08944,192.71578,"3e",1970-01-01 01:01:43
70.156462,192.94574,"3e",1970-01-01 01:01:44
71.361461,192.92734,"3e",1970-01-01 01:01:45
72.465276,192.89054,"3e",1970-01-01 01:01:46
73.605886,193.1941,"3e",1970-01-01 01:01:47
74.691305,193.1941,"3e",1970-01-01 01:01:48
75.850311,193.04692,"3e",1970-01-01 01:01:49
76.926532,193.03792,"3e",1970-01-01 01:01:50
78.048744,192.93674,"3e",1970-01-01 01:01:51
79.207751,192.90914,"3e",1970-01-01 01:01:52
80.34836,192.90014,"3e",1970-01-01 01:01:53
81.341794,192.93694,"3e",1970-01-01 01:01:54
82.583587,192.93694,"3e",1970-01-01 01:01:55
83.687402,192.93694,"3e",1970-01-01 01:01:56
84.846409,192.93694,"3e",1970-01-01 01:01:57
85.959424,193.00134,"3e",1970-01-01 01:01:58
87.118428,192.93694,"3e",1970-01-01 01:01:59
88.203847,192.90934,"3e",1970-01-01 01:02:00
89.408847,192.95534,"3e",1970-01-01 01:02:01
90.439074,193.2129,"3e",1970-01-01 01:02:02
91.570486,193.1757,"3e",1970-01-01 01:02:03
92.775485,193.1667,"3e",1970-01-01 01:02:04
93.916094,192.87235,"3e",1970-01-01 01:02:05
100.75583,192.73602,"3f",1970-01-01 01:02:06
101.89408,192.46284,"3f",1970-01-01 01:02:07
102.92827,192.81407,"3f",1970-01-01 01:02:08
104.03399,193.04172,"3f",1970-01-01 01:02:09
105.17225,193.49702,"3f",1970-01-01 01:02:10
106.28448,193.24336,"3f",1970-01-01 01:02:11
107.44225,193.73768,"3f",1970-01-01 01:02:12
108.55448,193.458,"3f",1970-01-01 01:02:13
109.69924,194.17997,"3f",1970-01-01 01:02:14
110.79846,193.70516,"3f",1970-01-01 01:02:15
111.89119,193.73766,"3f",1970-01-01 01:02:16
113.03594,193.0352,"3f",1970-01-01 01:02:17
114.14167,192.80104,"3f",1970-01-01 01:02:18
115.26691,192.5929,"3f",1970-01-01 01:02:19
116.43118,192.83356,"3f",1970-01-01 01:02:20
